SNo,Symbol,Confidence,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,PrevClose,Turnover,Transactions,Diff,Range,ChangePercent,RangePercent,VWAP %,Weeks52High,Weeks52Low,Date,Days120,Days180
320,UPPER,33.81,222.8,226.9,217.9,218.5,218.5,0.0,0.0,220.79,233876.0,218.5,51637045.0,976,0.0,9.0,0.0,4.13,-1.05,295.0,152.1,2024-11-17,,
304,UPPER,37.07,217.1,222.0,216.0,216.4,216.4,0.0,0.0,217.45,197248.0,218.5,42891338.6,932,-2.1,6.0,-0.96,2.78,-0.48,295.0,152.1,2024-11-19,,
317,UPPER,36.46,216.4,218.0,213.6,216.8,216.8,0.0,0.0,216.28,143638.0,216.4,31065412.3,623,0.4,4.4,0.18,2.06,0.24,295.0,152.1,2024-11-20,,
308,UPPER,31.89,217.0,219.0,213.0,213.6,213.6,0.0,0.0,214.67,194136.0,216.8,41675097.8,887,-3.2,6.0,-1.48,2.82,-0.5,295.0,152.1,2024-11-21,,
316,UPPER,30.94,213.6,217.8,212.0,212.3,212.3,0.0,0.0,213.83,162743.0,213.6,34799341.2,763,-1.3,5.8,-0.61,2.74,-0.72,295.0,152.1,2024-11-24,,
303,UPPER,30.3,216.5,216.5,211.0,212.7,212.7,0.0,0.0,212.28,137690.0,212.3,29228923.7,730,0.4,5.5,0.19,2.61,0.2,295.0,152.1,2024-11-25,,
306,UPPER,32.3,216.9,217.9,213.0,216.2,216.2,0.0,0.0,215.41,155981.0,212.7,33599181.6,691,3.5,4.9,1.65,2.3,0.37,295.0,152.1,2024-11-26,,
310,UPPER,40.35,220.0,220.0,216.0,217.9,217.9,0.0,0.0,217.81,235371.0,216.2,51266431.0,810,1.7,4.0,0.79,1.85,0.04,295.0,152.1,2024-11-27,,
301,UPPER,45.65,219.0,219.1,213.8,216.0,216.0,0.0,0.0,215.67,204316.0,217.9,44064870.0,711,-1.9,5.3,-0.87,2.48,0.15,295.0,152.1,2024-11-28,,
308,UPPER,43.98,215.0,215.0,211.0,214.0,214.0,0.0,0.0,213.59,158794.0,216.0,33916245.6,657,-2.0,4.0,-0.93,1.9,0.19,295.0,152.1,2024-12-01,,
308,UPPER,46.07,214.0,221.0,213.0,213.9,213.9,0.0,0.0,216.54,201769.0,214.0,43692063.9,789,-0.1,8.0,-0.05,3.76,-1.24,295.0,152.1,2024-12-02,,
